dimacs_file,solver,grammar,word,word_length,positive_or_negative,nonterminal_count,rule_count,singular_rule_count,double_rule_count,bool_variable_count,base_bool_variable_count,tseitin_variable_count,clause_count,fixed_value_clause_count,tseitin_clause_count,window_clause_count,status,result,time_ms
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w4.cnf,pysat:g3,1,type id = record end ; var procedure id ( ) type id = Integer ; begin konšt_int and id < konšt_int <= - konšt_int or konšt_int := id [ konšt_char + id ] and konšt_int / id >= konšt_boolean = konšt_char ; end,44,positive,180,324,95,229,3427710,178200,3249510,9926731,39139,9748530,139062,ok,SAT,5829.045
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w4.cnf,pysat:g4,1,type id = record end ; var procedure id ( ) type id = Integer ; begin konšt_int and id < konšt_int <= - konšt_int or konšt_int := id [ konšt_char + id ] and konšt_int / id >= konšt_boolean = konšt_char ; end,44,positive,180,324,95,229,3427710,178200,3249510,9926731,39139,9748530,139062,ok,SAT,5918.133
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w4.cnf,pysat:gc3,1,type id = record end ; var procedure id ( ) type id = Integer ; begin konšt_int and id < konšt_int <= - konšt_int or konšt_int := id [ konšt_char + id ] and konšt_int / id >= konšt_boolean = konšt_char ; end,44,positive,180,324,95,229,3427710,178200,3249510,9926731,39139,9748530,139062,ok,SAT,6825.011
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w4.cnf,pysat:gc4,1,type id = record end ; var procedure id ( ) type id = Integer ; begin konšt_int and id < konšt_int <= - konšt_int or konšt_int := id [ konšt_char + id ] and konšt_int / id >= konšt_boolean = konšt_char ; end,44,positive,180,324,95,229,3427710,178200,3249510,9926731,39139,9748530,139062,ok,SAT,7318.479
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w4.cnf,pysat:m22,1,type id = record end ; var procedure id ( ) type id = Integer ; begin konšt_int and id < konšt_int <= - konšt_int or konšt_int := id [ konšt_char + id ] and konšt_int / id >= konšt_boolean = konšt_char ; end,44,positive,180,324,95,229,3427710,178200,3249510,9926731,39139,9748530,139062,ok,SAT,5598.297
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w4.cnf,pysat:mc,1,type id = record end ; var procedure id ( ) type id = Integer ; begin konšt_int and id < konšt_int <= - konšt_int or konšt_int := id [ konšt_char + id ] and konšt_int / id >= konšt_boolean = konšt_char ; end,44,positive,180,324,95,229,3427710,178200,3249510,9926731,39139,9748530,139062,ok,SAT,10379.259
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w4.cnf,pysat:mgh,1,type id = record end ; var procedure id ( ) type id = Integer ; begin konšt_int and id < konšt_int <= - konšt_int or konšt_int := id [ konšt_char + id ] and konšt_int / id >= konšt_boolean = konšt_char ; end,44,positive,180,324,95,229,3427710,178200,3249510,9926731,39139,9748530,139062,ok,SAT,9134.780
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w4.cnf,pycryptosat,1,type id = record end ; var procedure id ( ) type id = Integer ; begin konšt_int and id < konšt_int <= - konšt_int or konšt_int := id [ konšt_char + id ] and konšt_int / id >= konšt_boolean = konšt_char ; end,44,positive,180,324,95,229,3427710,178200,3249510,9926731,39139,9748530,139062,ok,SAT,7483.876
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w5.cnf,pysat:g3,1,type id = Char ; procedure id ( ) type id = Boolean ; begin ( konšt_boolean + konšt_char / not konšt_real <= konšt_char + not konšt_int < id ) > konšt_int mod not id > konšt_char := konšt_int / konšt_real ; end,43,positive,180,324,95,229,3203156,170280,3032876,9268909,37540,9098628,132741,ok,SAT,5637.732
src\text\dimacs_outputs\benchmark_runs\big_grammar\g1_positive_w5.cnf,pysat:g4,1,type id = Char ; procedure id ( ) type id = Boolean ; begin ( konšt_boolean + konšt_char / not konšt_real <= konšt_char + not konšt_int < id ) > konšt_int mod not id > konšt_char := konšt_int / konšt_real ; end,43,positive,180,324,95,229,3203156,170280,3032876,9268909,37540,9098628,132741,ok,SAT,5939.470
